Iter,normal,RAND,double,dueling
246,4.6,0,4.6,
247,4.7,0,4.7,
248,4.8,0,4.8,
249,4.9,0,4.9,
250,5,0,5,
251,5.1,0,5.1,
252,5.2,0,5.2,
253,5.3,0,5.3,
254,5.4,0,5.4,
255,5.5,0,5.5,
256,0.5,0,0.5,
257,0.6,0,0.6,
258,0.7,0,0.7,
259,0.8,0,0.8,
260,0.9,0,0.9,
261,1,0,1,
262,1.1,0,1.1,
263,1.2,0,1.2,
264,1.3,0,1.3,
265,1.4,0,1.4,
266,1.5,0,1.5,
267,1.6,0,1.6,
268,1.7,0,1.7,
269,1.8,0,1.8,
270,1.9,0,1.9,
271,2,0,2,
272,2.1,0,2.1,
273,2.2,0,2.2,
274,2.3,0,2.3,
275,2.4,0,2.4,
276,2.5,0,2.5,
277,2.6,0,2.6,
278,2.7,0,2.7,
279,2.8,0,2.8,
280,2.9,0,2.9,
281,3,0,3,
282,3.1,0,3.1,
283,3.2,0,3.2,
284,3.3,0,3.3,
285,3.4,0,3.4,
286,3.5,0,3.5,
287,3.6,0,3.6,
288,3.7,0,3.7,
289,3.8,0,3.8,
290,3.9,0,3.9,
291,4,0,4,
292,4.1,0,4.1,
293,4.2,0,4.2,
294,4.3,0,4.3,
295,4.4,0,4.4,
296,4.5,0,4.5,
297,4.7,0,4.7,
298,4.8,0,4.8,
299,4.9,0,4.9,
300,5,0,5,
301,5.1,0,5.1,
302,5.2,0,5.2,
303,5.3,0,5.3,
304,5.4,0,5.4,
305,0.4,0,0.4,
306,0.5,0,0.5,
307,0.6,0,0.6,
308,0.7,0,0.7,
309,0.8,0,0.8,
310,0.9,0,0.9,
311,1,0,1,
312,1.1,0,1.1,
313,1.2,0,1.2,
314,1.3,0,1.3,
315,1.4,0,1.4,
316,1.5,0,1.5,
317,1.6,0,1.6,
318,1.7,0,1.7,
319,1.8,0,1.8,
320,1.9,0,1.9,
321,2,0,2,
322,2.1,0,2.1,
323,2.2,0,2.2,
324,2.3,0,2.3,
325,2.4,0,2.4,
326,2.5,0,2.5,
327,2.6,0,2.6,
328,2.7,0,2.7,
329,2.8,0,2.8,
330,2.9,0,2.9,
331,3,0,3,
332,3.1,0,3.1,
333,3.2,0,3.2,
334,3.3,0,3.3,
335,3.4,0,3.4,
336,3.5,0,3.5,
337,3.6,0,3.6,
338,3.7,0,3.7,
339,3.8,0,3.8,
340,3.9,0,3.9,
341,4,0,4,
342,4.1,0,4.1,
343,4.2,0,4.2,
344,4.3,0,4.3,
345,4.4,0,4.4,
346,4.5,0,4.5,
347,4.6,0,4.6,
348,4.7,0,4.7,
349,4.8,0,4.8,
350,4.9,0,4.9,
351,5,0,5,
352,5.1,0,5.1,
353,5.2,0,5.2,
354,5.3,0,5.3,
355,0.3,0,0.3,
356,0.4,0,0.4,
357,0.5,0,0.5,
358,0.6,0,0.6,
359,0.7,0,0.7,
360,0.8,0,0.8,
361,0.9,0,0.9,
362,1,0,1,
363,1.1,0,1.1,
364,1.2,0,1.2,
365,1.3,0,1.3,
366,1.4,0,1.4,
367,1.5,0,1.5,
368,1.6,0,1.6,
369,1.7,0,1.7,
370,1.8,0,1.8,
371,1.9,0,1.9,
372,2,0,2,
373,2.1,0,2.1,
374,2.2,0,2.2,
375,2.3,0,2.3,
376,2.4,0,2.4,
377,2.5,0,2.5,
378,2.6,0,2.6,
379,2.7,0,2.7,
380,2.8,0,2.8,
381,2.9,0,2.9,
382,3,0,3,
383,3.1,0,3.1,
384,3.2,0,3.2,
385,3.3,0,3.3,
386,3.4,0,3.4,
387,3.5,0,3.5,
388,3.6,0,3.6,
389,3.7,0,3.7,
390,3.8,0,3.8,
391,3.9,0,3.9,
392,4,0,4,
393,4.1,0,4.1,
394,4.2,0,4.2,
395,4.3,0,4.3,
396,4.5,0,4.5,
397,4.6,0,4.6,
398,4.7,0,4.7,
399,4.8,0,4.8,
400,4.9,0,4.9,
401,5,0,5,
402,5.1,0,5.1,
403,5.2,0,5.2,
404,0.2,0,0.2,
405,0.3,0,0.3,
406,0.4,0,0.4,
407,0.5,0,0.5,
408,0.6,0,0.6,
409,0.7,0,0.7,
410,0.8,0,0.8,
411,0.9,0,0.9,
412,1,0,1,
413,1.1,0,1.1,
414,1.2,0,1.2,
415,1.3,0,1.3,
416,1.4,0,1.4,
417,1.5,0,1.5,
418,1.6,0,1.6,
419,1.7,0,1.7,
420,1.8,0,1.8,
421,1.9,0,1.9,
422,2,0,2,
423,2.1,0,2.1,
424,2.2,0,2.2,
425,2.3,0,2.3,
426,2.4,0,2.4,
427,2.5,0,2.5,
428,2.6,0,2.6,
429,2.7,0,2.7,
430,2.8,0,2.8,
431,2.9,0,2.9,
432,3,0,3,
433,3.1,0,3.1,
434,3.2,0,3.2,
435,3.3,0,3.3,
436,3.4,0,3.4,
437,3.5,0,3.5,
438,3.6,0,3.6,
439,3.7,0,3.7,
440,3.8,0,3.8,
441,3.9,0,3.9,
442,4,0,4,
443,4.1,0,4.1,
444,4.2,0,4.2,
445,4.3,0,4.3,
446,4.4,0,4.4,
447,4.5,0,4.5,
448,4.6,0,4.6,
449,4.7,0,4.7,
450,4.8,0,4.8,
451,4.9,0,4.9,
452,5,0,5,
453,5.1,0,5.1,
454,0.1,0,0.1,
455,0.2,0,0.2,
456,0.3,0,0.3,
457,0.4,0,0.4,
458,0.5,0,0.5,
459,0.6,0,0.6,
460,0.7,0,0.7,
461,0.8,0,0.8,
462,0.9,0,0.9,
463,1,0,1,
464,1.1,0,1.1,
465,1.2,0,1.2,
466,1.3,0,1.3,
467,1.4,0,1.4,
468,1.5,0,1.5,
469,1.6,0,1.6,
470,1.7,0,1.7,
471,1.8,0,1.8,
472,1.9,0,1.9,
